,ts_code,name,classify,list_date,delist_date
392,AFCSF,,EQT,20131209,
393,AFDVF,,EQT,20110107,
394,AFFL,,EQT,19990204,
395,AFFN,,EQT,20011119,
396,AFFU,,EQT,20061214,
397,AFFY,,EQT,20061214,
398,AFG,,EQT,19781114,
399,AFGVF,,EQT,20140113,
400,AFGVY,,ADR,20110719,
401,AFH,,EQT,20130212,
402,AFHFF,,EQT,20190508,
403,AFI,,EQT,20160317,
404,AFIDY,,GDR,20141201,
405,AFIMF,,EQT,20140113,
406,AFIN,,EQT,20180719,
407,AFINP,,EQT,20190325,
408,AFIPA,,EQT,19721214,
409,AFL,,EQT,19730823,
410,AFLQF,,EQT,20170726,
411,AFLYY,,ADR,20040505,
412,AFMCF,,EQT,20140113,
413,AFMD,,EQT,20140912,
414,AFMJF,,EQT,20140113,
415,AFML,,EQT,19980210,
416,AFNL,,EQT,19950713,
417,AFOM,,EQT,20101012,
418,AFPW,,EQT,20120724,
419,AFRAF,,EQT,20140113,
420,AFRMF,,EQT,20140207,
421,AFRVF,,EQT,19970821,
422,AFTC,,EQT,20020516,
423,AFTM,,EQT,20120809,
424,AFTPF,,EQT,20180604,
425,AFTPY,,ADR,20200430,
426,AFXXF,,EQT,20190207,
427,AFYA,Afya,EQT,20190719,
428,AFYG,,EQT,20100604,
429,AG,,EQT,20101215,
430,AGBA,,EQT,20190731,
431,AGBAU,,EQT,20190514,
432,AGCBF,,EQT,19600101,
433,AGCCF,,EQT,19600101,
434,AGCO,,EQT,19920416,
435,AGCZ,,EQT,19960214,
436,AGDXF,,EQT,19600101,
437,AGDY,,EQT,19930915,
438,AGE,,EQT,20181129,
439,AGEEF,,EQT,20061228,
440,AGEN,,EQT,20000204,
441,AGESF,,EQT,20140113,
442,AGESY,,ADR,20010109,
443,AGFAF,,EQT,20150714,
444,AGFMF,,EQT,20140113,
445,AGFS,,EQT,20140424,
446,AGFSW,,EQT,20150803,
447,AGGFF,,EQT,19600101,
448,AGGG,,EQT,20180212,
449,AGGHF,,EQT,20190221,
450,AGGI,,EQT,19981014,
451,AGGKY,,ADR,20190417,
452,AGGL,,EQT,20070129,
453,AGGX,,EQT,20030905,
454,AGGZF,,EQT,19600101,
455,AGHC,,EQT,19920513,
456,AGHI,,EQT,19980505,
457,AGI,,EQT,20061228,
458,AGIN,,EQT,20160602,
459,AGIO,,EQT,20130724,
460,AGLAF,,EQT,19600101,
461,AGLDF,,EQT,20171121,
462,AGLE,,EQT,20160407,
463,AGLNF,,EQT,20140113,
464,AGLT,,EQT,19950327,
465,AGLXY,,ADR,20100504,
466,AGLY,,EQT,20190611,
467,AGM,,EQT,19940103,
468,AGM.A,,EQT,19940127,
469,AGMH,,EQT,20180418,
470,AGMJF,,EQT,20140113,
471,AGMPRD,,EQT,20190509,
472,AGMPRE,,EQT,20200515,
473,AGNC,,EQT,20080513,
474,AGNCM,,EQT,20190228,
475,AGNCO,,EQT,20190930,
476,AGNCP,,EQT,20200205,
477,AGNPF,,EQT,20160311,
478,AGO,,EQT,20040420,
479,AGOAF,,EQT,20130219,
480,AGOPRE,,EQT,20191111,
481,AGPDF,,EQT,20140113,
482,AGPIF,,EQT,20140113,
483,AGPL,,EQT,20121129,
484,AGPPF,,EQT,20140113,
485,AGPYF,,EQT,20051205,
486,AGPYY,,ADR,20110807,
487,AGR,,EQT,20151217,
488,AGRDF,,EQT,20131223,
489,AGREF,,EQT,20140113,
490,AGRIP,,EQT,20171219,
491,AGRO,,EQT,20110128,
492,AGRPF,,EQT,20170609,
493,AGRPY,,ADR,20030718,
494,AGRS,,EQT,19890331,
495,AGRUF,,EQT,20120910,
496,AGRX,,EQT,20140523,
497,AGS,,EQT,20180126,
498,AGSM,,EQT,20070719,
499,AGSO,,EQT,20070820,
500,AGSVF,,EQT,20120328,
501,AGTAF,,EQT,20050127,
502,AGTC,,EQT,20140327,
503,AGTEF,,EQT,20140812,
504,AGTK,,EQT,19980514,
505,AGTT,,EQT,19840604,
506,AGTX,,EQT,20150821,
507,AGUNF,,EQT,20061228,
508,AGVYY,,GDR,20140512,
509,AGX,,EQT,19810925,
510,AGXKF,,EQT,20140113,
511,AGYP,,EQT,20020813,
512,AGYS,,EQT,19750102,
513,AGYTF,,EQT,20140113,
514,AGZNF,,EQT,20150108,
515,AHAD,,EQT,20161021,
516,AHAG,,EQT,19860307,
517,AHAHF,,EQT,20160602,
518,AHC,,EQT,20080122,
519,AHCD,,EQT,19990428,
520,AHCHF,,EQT,20140113,
521,AHCHY,安徽海螺,EQT,20081104,
522,AHCO,,EQT,20180524,
523,AHCP,,EQT,20120724,
524,AHELF,,EQT,20140113,
525,AHEXF,,EQT,20140113,
526,AHEXY,,ADR,20081013,
527,AHFCD,,EQT,19600101,
528,AHFD,,EQT,20111027,
529,AHFI,,EQT,19970620,
530,AHGHF,,EQT,20200225,
531,AHGIF,,EQT,20170127,
532,AHH,,EQT,20130508,
533,AHHPRA,,EQT,20190612,
534,AHICF,,EQT,20130528,
535,AHII,,EQT,20130503,
536,AHIX,,EQT,19841212,
537,AHKSF,,EQT,20140113,
538,AHKSY,,ADR,19920529,
539,AHLPRE,,EQT,20190807,
540,AHNMF,,EQT,20140113,
541,AHNR,,EQT,20120724,
542,AHODF,,EQT,20140113,
543,AHOTF,,EQT,20130412,
544,AHPI,,EQT,19920115,
545,AHROQ,,EQT,20041110,
546,AHT,,EQT,20030821,
547,AHTPRD,,EQT,20180319,
548,AHTPRI,,EQT,20171110,
549,AHWSF,,EQT,20190715,
550,AI,,EQT,19971223,
551,AIABF,,EQT,20140113,
552,AIAGF,,EQT,20140113,
553,AIAGY,,ADR,20140728,
554,AIAPF,,EQT,20190411,
555,AIBEF,,EQT,20140113,
